tweets,score
RIP sa mga pang lakad na damit na ginawa na lang pang bahay. ðŸ’” #OustDuterte,1
"Ever since the rise and fall of Dictator Ferdinand Marcos, students and youth have been in the forefront against tyranny, fascism, and corruption.   âœï¸ John Robert de Castro &amp; Natalie Nicole Julian ðŸŽ¨ Aster Lopez  READ:  https://t.co/3r6LhUjyYS  #NeverForget  #OustDuterte  https://t.co/rV6aY9xZsd",2
"Sa ika- apatnapu't siyam na taon mula nang ipinataw ang Batas Militar, nakikiisa ang Panday Sining Bacoor at handog namin ang isang tula para alalahanin ang mga nangahas at biktima ng malagim na unos ng diktadurang Marcos.  #NeverForget #MarcosDuterteWalangPinagiba #OustDuterte  https://t.co/p4xCmw57Zr",2
#NeverForget #NeverAgain #OustDuterte #ImpeachDuterte,1
"Uy, gagi! 'Wag mong palampasin ang araw na 'to upang aralin muli ang Rise and Fall of the Marcos Dictatorship. Dalo kayo sa ED ng @sikhaymc!  #NeverAgain #NeverForget #OustDuterte   https://t.co/4GvXnU56Qi",2
"akala ko burger king, snr pala hehehe okay po",1
@GemhilGeorge @DickGordonDG Ilang Oust Duterte na nga kayo eh... Na-oust ba? Hirap sa mga puro bintang lang alam. ðŸ˜‚,2
"no time to wait for 2022! if the policeâ€™s actions in todayâ€™s protests are anything to go by, it is clear that the call must be #OustDuterte!",1
tangina ano na,1
oust duterte,1
Labanan at biguin ang tiraniya at malawakang korupsyon ng rehimeng Duterte at ng NTF-ELCAC!    #neveragaintomartiallaw #stopthekillingsph #resisttyranny #OustDuterte #dutertewakasan  https://t.co/LNrFV15Woj,1
DUTERTE AT MARCOS PAREHONG TAKOT SA DALUYONG NG MAMAMAYANG LUMALABAN!!  Parehong dinarahas ang mga nagpoprotesta nang payapa. Pareho ring isinusuka ng mamamayan.  #NeverAgain #OustDuterte,2
nagkakaisa ang malawak na hanay ng sambayanan #oustduterte #wakasanna!,1
"Kahit noon o ngayon pa man, walang lugar ang mga diktador, pasista, o tyrano sa isang demokratikong Pilipinas.   #NeverForget #NeverAgain #OustDuterte #DuterteWakasan",1
"Mesa ka met maricar. Isu ngarod ta adda makunkuna nga ""election"" di ba? Mapelwan kay ngata ta pambatok uray kabbarro lang kase adda sense of responsibility na. Ipapilit mo ta napintas penmanship na ukininam",1
"As we commemorate today, we stand for our rights and our freedom. We remember our voices. We remember our people â€” our fellow Filipinos who have been victimized by the happenings then, and the happenings now.  #NeverForget #NeverAgain #MarcosNotAHero #OustDuterte   3/3",1
"Uy, gagi! 'Wag kang magpaniwala sa haka-hakang hindi magnanakaw ang mga Marcosâ€”itinuring na ""greatest robbery of a government"" ng Guinness ang ninakaw nilang na $5-10 billion. Nahatulan din 7 counts of graft si Imelda Marcos noong 2018.  #NeverAgain #NeverForget #OustDuterte",2
"How can we move on from Martial Law when until today, protesters are being hurt, harassed, and detained for simply exercising their rights and speaking their truths? Power is still being abused against the people. #OustDuterte #NeverAgain",1
ITO AY MANIPESTASYON NG PANUNUPIL NG ESTADO SA MGA MAMAMAYANG NAIS LAMANG MAPAKINGGAN!   #PulisAngTerorista #StopTheAttacks #DefendSouthernTagalog #OUSTDUTERTE,2
"...state-controlled and funded Sambayanan was allowed to gather outside the Jaro Plaza, spew lies and red-tag legal progressive organizations without the PNP batting an eye.  This is how it works. The more we are silenced, the more we should remember and fight back. #OustDuterte",1
"Uy, gagi! 'Wag kang magpaniwala sa haka-hakang matagumpay ang Green Revolution sa panahong Marcosâ€”mas lalong nalugmok sa kahirapan ang mga Pilipino. Lumaganap ang malnutrisyon sa kabataan at bumagsak ang kita ng mga mamamayan.  #NeverAgain #NeverForget #OustDuterte",1
