Tweets,Score
"Nagutom lang ako, yun lang natutunan ko sa klase ni sir Vic. Magutom",0
"Uy, gagi! 'Wag kang magpaniwala sa haka-hakang matagumpay ang Green Revolution sa panahong Marcosâ€”mas lalong nalugmok sa kahirapan ang mga Pilipino. Lumaganap ang malnutrisyon sa kabataan at bumagsak ang kita ng mga mamamayan.  #NeverAgain #NeverForget #OustDuterte",1
so bat nambobomba ng tubig?,0
"Marcos, Duterte, walang pinag-iba! Parehong tuta, diktador, pasista!  #NeverAgain  #MarcosNotAHero  #DuterteWakasan #OustDuterte",2
Malinaw na malinaw na malinaw na pinapatagal lamang ang pandemya dahil alam ng pamahalaan na kayang-kaya sila pabagsakin ng mga mamamayan at ng sama-samang pagkilos.   Ang sagot sa covid at paghihirap ng sambayanan ay iisa lamang: OUST DUTERTE NOW!,2
"MARCOS, HINDI MAGIGING BAYANI KAILANMAN!  Basahin ang buong pahayag ng NNARA Youth UPLB ngayong Martial Law Commemoration:  https://t.co/aakmISOfST  #NeverAgain #OustDuterte  https://t.co/ZKSzl663A1",1
#NeverAgainToMartialLaw resist the rehabilitation of the Marcos family! stop Duterte from creating another political dynasty! OUST DUTERTE NOW!,2
"As we remember the 49th anniversary of Martial Law, we call for justice for the victims of Marcosâ€™ dictatorship, and for the increasing victims of Duterteâ€™s de facto tyranny.   A dictator is not and will never be a hero. #MarcosNotAHero #NoToHistoricalRevisionism  #OustDuterte  https://t.co/OJX82CVC01",1
#NeverAgain #NoToHistoricalRevisionism #EndImpunity #OustDuterte,1
"DUTERTE, MARCOS, WALANG PINAG-IBA, PAREHONG TUTA, DIKTADOR AT PASISTA!  #NeverAgain #NeverForget #DutertePalpak #OustDuterte  [4/4]",2
#NeverAgain sa Batas Militar at #MarcosHindiBayani! Hindi dapat mabali ang loob ng mga guro na ituro ang katotohanan at ipaglaban  ang katarungan. #OustDuterte ang pinakasulong na hakbang sa tunguhing ito.,1
"Uy, gagi! 'Wag kang magpaniwala sa haka-hakang payapa ang lansangan noong Batas Militarâ€”ayon sa Amnesty International, 70,000 tao ang nabilanggo, 34,000 ay tinortyur, at 'di bababa sa 3,240 ang biktima ng EJKs.  #NeverAgain #NeverForget #OustDuterte",2
Read full statement here:  https://t.co/jipWgVwBVL  #NeverAgain #NoToHistoricalRevisionism #EndImpunity #OustDuterte,0
TINGNAN: Nagsasagawa ng mga Educational Discussion sa Quezon Hall ang mga Iskolar ng Bayan kasama ng komunidad tungkol sa Martial Law ngayong UP Day of Remembrance.  #NeverAgain #NeverForget #UPFightsBack #OustDuterte  https://t.co/y7Nayo0ZOz,0
