score,text,Topics
1, rip  pang  lakad  damit  lang  pang  bahay  oustduterte ,Recollection
2, ever  since  rise  fall  dictator  ferdinand  marcos  student  youth  forefront  tyranny  fascism  corruption  john  robert  de  castro  amp  natalie  nicole  julian  aster  lopez  read  neverforget  oustduterte   ,Politican Stance
2, ika  apatnaput  siyam  taon  nang  ipinataw  bata  militar  nakikiisa  panday  sining  bacoor  handog  tula  alalahanin  nangahas  biktima  malagim  unos  diktadurang  marcos  neverforget  marcosdutertewalangpinagiba  oustduterte   ,Recollection
1,   neverforget  neveragain  oustduterte  impeachduterte ,Recollection
2, uy  gagi  wag  mong  palampasin  araw  upang  aralin  rise  fall  marcos  dictatorship  dalo  kayo  ed  neveragain  neverforget  oustduterte   ,Recollection
1, akala  burger  king  snr  pala  hehehe  okay  po ,Election
2,   ilang  oust  duterte  nga  kayo  eh  oust  ba  hirap  puro  bintang  lang  alam   ,Politican Stance
1, time  wait  2022  police  action  today  protest  anything  go  clear  call  must  oustduterte   ,Filipino Political News
1, tangina ,Election
1, oust  duterte ,Politican Stance
1, labanan  biguin  tiraniya  malawakang  korupsyon  rehimeng  duterte  ntf  elcac  neveragaintomartiallaw  stopthekillingsph  resisttyranny  oustduterte  dutertewakasan   ,Recollection
2, duterte  marcos  parehong  takot  daluyong  mamamayang  lumalaban  parehong  dinarahas  nagpoprotesta  nang  payapa  ring  isinusuka  mamamayan  neveragain  oustduterte ,Recollection
1, nagkakaisa  malawak  hanay  sambayanan  oustduterte  wakasanna   ,Election
1, man  lugar  diktador  pasista  tyrano  demokratikong  pilipinas  neverforget  neveragain  oustduterte  dutertewakasan ,Recollection
1, mesa  met  maricar  isu  ngarod  ta  adda  makunkuna  nga  election  di  ba  mapelwan  kay  ngata  ta  pambatok  uray  kabbarro  lang  kase  adda  sense  responsibility  ipapilit  mo  ta  napintas  penmanship  ukininam ,Recollection
1, commemorate  today  stand  right  freedom  remember  voice  remember  people  fellow  filipino  victimized  happening  happening  neverforget  neveragain  marcosnotahero  oustduterte  3  3 ,Filipino Political News
2, uy  gagi  wag  kang  magpaniwala  haka  hakang  magnanakaw  marcos  itinuring  greatest  robbery  government  guinness  ninakaw  5  10  billion  nahatulan  7  count  graft  si  imelda  marcos  noong  2018  neveragain  neverforget  oustduterte ,Recollection
1, move  martial  law  today  protester  hurt  harassed  detained  simply  exercising  right  speaking  truth  power  still  abused  people  oustduterte  neveragain ,Filipino Political News
2, manipestasyon  panunupil  estado  mamamayang  mapakinggan  pulisangterorista  stoptheattacks  defendsoutherntagalog  oustduterte ,Recollection
1,   state  controlled  funded  sambayanan  allowed  gather  outside  jaro  plaza  spew  lie  red  tag  legal  progressive  organization  without  pnp  batting  eye  work  silenced  remember  fight  back  oustduterte ,Politican Stance
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  matagumpay  green  revolution  panahong  marcos  ma  lalong  nalugmok  kahirapan  pilipino  lumaganap  malnutrisyon  kabataan  bumagsak  kita  mamamayan  neveragain  neverforget  oustduterte ,Recollection
2, marcos  duterte  pinag  parehong  tuta  diktador  pasista  neveragain  marcosnotahero  dutertewakasan  oustduterte ,Recollection
1, malinaw  malinaw  malinaw  pinapatagal  pandemya  alam  pamahalaan  kayang  pabagsakin  mamamayan  sama  samang  pagkilos  sagot  covid  paghihirap  sambayanan  iisa  oust  duterte   ,Politican Stance
2, marcos  magiging  bayani  basahin  buong  pahayag  nnara  youth  uplb  ngayong  martial  law  commemoration  neveragain  oustduterte   ,Recollection
