score,text,Topics
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  matagumpay  green  revolution  panahong  marcos  ma  lalong  nalugmok  kahirapan  pilipino  lumaganap  malnutrisyon  kabataan  bumagsak  kita  mamamayan  neveragain  neverforget  oustduterte ,Filipino Political News
2, marcos  duterte  pinag  parehong  tuta  diktador  pasista  neveragain  marcosnotahero  dutertewakasan  oustduterte ,Filipino Political News
2, malinaw  malinaw  malinaw  pinapatagal  pandemya  alam  pamahalaan  kayang  pabagsakin  mamamayan  sama  samang  pagkilos  sagot  covid  paghihirap  sambayanan  iisa  oust  duterte   ,Political stance
1, marcos  magiging  bayani  basahin  buong  pahayag  nnara  youth  uplb  ngayong  martial  law  commemoration  neveragain  oustduterte   ,Filipino Political News
2,   neveragaintomartiallaw  resist  rehabilitation  marcos  family  stop  duterte  creating  another  political  dynasty  oust  duterte   ,Political stance
1, remember  49th  anniversary  martial  law  call  justice  victim  marcos  dictatorship  increasing  victim  duterte  de  facto  tyranny  dictator  never  hero  marcosnotahero  notohistoricalrevisionism  oustduterte   ,President
1,   neveragain  notohistoricalrevisionism  endimpunity  oustduterte ,Filipino Political News
2, duterte  marcos  pinag  parehong  tuta  diktador  pasista  neveragain  neverforget  dutertepalpak  oustduterte  4  4   ,Filipino Political News
1,   neveragain  bata  militar  marcoshindibayani  mabali  loob  guro  ituro  katotohanan  ipaglaban  katarungan  oustduterte  pinakasulong  hakbang  tunguhing   ,Filipino Political News
2, uy  gagi  wag  kang  magpaniwala  haka  hakang  payapa  lansangan  noong  bata  militar  ayon  amnesty  international  70  000  tao  nabilanggo  34  000  tinortyur  di  3  240  biktima  ejks  neveragain  neverforget  oustduterte ,Filipino Political News
1,   put  anti  communism  nationalism  supported  cia  cia  mind  ousted  marcos  trying  oust  duterte  critically  support  marcos  digong  theyre  anti  u  cause  theyre  anti  communist   ,Government Policies
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  nasa  1  50  2  per  dollar  forex  nung  marcos  totoo  3  91  per  dollar  nung  siyay  pangulo  20  46  per  dollar  nung  siyay  napatalsik  neveragain  neverforget  oustduterte ,Filipino Political News
1, paulit  ulit  kayo  apologist  dilawan  dd  neveragain  neverforget  oustduterte  haciendamassacre  lugaw  wag  nyo  buhos  mag  dota  kayo  tapos  sea  server  pasok  yang  bar  nyo  voice  chat  trashtalkan  kayo  g   ,Political stance
1, remember  history  resist  historical  negation  upv  college  art  science  student  council  partner  student  council  organization  denounce  lie  assert  truth  martial  law  marcos  regime  neverforget  neveragain  oustduterte   ,Election
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  golden  age  ph  marcos  katunayan  nilubog  utang  ekonomiya  natin  neveragain  neverforget  oustduterte ,Filipino Political News
1, sinungaling  kapatid  magnanakaw  neveragain  neverforget  martiallaw  oustduterte  liar  brother  thief   ,Filipino Political News
1,   neveragain  martiallaw  oustduterte ,Filipino Political News
1, alzo  di  lang  magbibigay  historical  context  marcos  martial  law  ididiscuss  yung  panitikan  aspect  interesting  bet  mag  p  21  di  nakakuha  slot  primer  niyo   ,President
1, skl  ganda  talk  kasi  makukuha  natin  first  hand  experience  tao  bata  militar  lalo  madedebunk  yung  sinasabing  ma  peaceful  ml  mindanao  yung  kalagayan  worker  lumad ,Government Policies
1, bump  lang  bat  sumama  pagkilos  ngayong  neverforget  neveragain  1  3  pm  program  quezon  hall  4  6  pm  program  liwasang  bonifacio  3pm  cssp  forum  abt  literature  martial  law  amp  story  sumifru  worker  lumad  student   ,Filipino Political News
2, never  martial  law  oust  duterte  read  full  statement  dutertewakasan   ,Political stance
1, remember  drug  war  grabe  real  problem  like  covid  19  changed  narrative  drug  problem  never  existed  scale  made  win  presidency  oustduterte  nomoremarcos  neveragain ,Government Policies
1, basahin  myth  debunking  infograph  ngayong  anniv  martial  law  neveragain  neverforget  oustduterte ,Filipino Political News
1, stand  always  neveragain  neverforget  marcosnotahero  oustduterte  dapatsileni  letlenilead  ibalikangabscbn  kapamilyaforever   ,Filipino Political News
1, ibang  bansa  nang  face  face  class  naman  nagpapatuloy  rin  anti  mahirap  online  setup  nahuhuli  hayaan  ganito  makiisa  pagkilos  magpaorganisa  ligtasnabalikeskwela  oustduterte ,Political stance
2, sumama  kilo  portesta  marcos  duterte  pinagiba  neveragain  neverforget  tuloyanglaban  marcosnotahero  oustduterte ,Filipino Political News
1, paggunita  anibersaryo  bata  militar  marcos  ngayong  araw  tunguhin  parehong  lansangang  nagpabagsak  diktadura  neveragain  neverforget  tuloyanglaban  marcosnotahero  oustduterte   ,Filipino Political News
1,   oustduterte   ,Filipino Political News
1, tanginanyo  asan  yung  oustduterte  natin   ,Political stance
1, ma  mukha  pang  presidente  kesa  presidente  pilipinasnas  paguugali  pananalita  paninindigan  lalong  lalo  naman  tindig  kagwapuhan  katalinuhan  oustduterte ,Political stance
1, yung  ibang  tao  1  nakiuso  oust  duterte  2  anti  dd  topic  namayapang  convo  3  bio  eh  dd  naks  personality  pala  yon  wag  magbase  uso  makisunod  nlng  majority  research  ur  fact  tsaka  magdecide  manok  mo  anyways  dd  nga  pala  lol ,Political stance
1, really  say  oust  duterte   ,Political stance
1, kasamas  ally  washington  dc  gonna  vigil  tomorrow  night  49th  anniversary  martial  law  philippine  please  attend  oustduterte  katarungan   ,Filipino Political News
1, kapagod  today  monday  monday  hay  feeling  oust  duterte  duque  resign  lang  magiging  ok ,Political stance
1,   http  lh  hay  oust  duterte  talaga  hahahah ,Political stance
2, country  friend  well  put  yang  icc  list  dutertemanyak  duterterapist  duterteyakuza  oustduterte ,Filipino Political News
2,   lago  tama  hahahahahahahaha  oustduterte ,Filipino Political News
2,   thats  truth  g  toengi  caroline  kennedy  marcosnotahero  neverforget  neveragain  notomarcos  dutertepalpak  dutertewakasan  oustduterte   ,Filipino Political News
1, filipino  word  trapo  translated  firstly  mean  rag  cloth  piece  without  corruption  dirtied  moral  overtime  human  version  traditional  politician  counting  pacquiao  also  hate  u  lgbtqia  dutertemanyak  duterterapist  duterteyakuza  oustduterte ,Election
