score,text
1, rip  pang  lakad  damit  lang  pang  bahay  oustduterte 
2, ever  since  rise  fall  dictator  ferdinand  marcos  student  youth  forefront  tyranny  fascism  corruption  john  robert  de  castro  amp  natalie  nicole  julian  aster  lopez  read  neverforget  oustduterte   
2, ika  apatnaput  siyam  taon  nang  ipinataw  bata  militar  nakikiisa  panday  sining  bacoor  handog  tula  alalahanin  nangahas  biktima  malagim  unos  diktadurang  marcos  neverforget  marcosdutertewalangpinagiba  oustduterte   
1,   neverforget  neveragain  oustduterte  impeachduterte 
2, uy  gagi  wag  mong  palampasin  araw  upang  aralin  rise  fall  marcos  dictatorship  dalo  kayo  ed  neveragain  neverforget  oustduterte   
1, akala  burger  king  snr  pala  hehehe  okay  po 
2,   ilang  oust  duterte  nga  kayo  eh  oust  ba  hirap  puro  bintang  lang  alam   
1, time  wait  2022  police  action  today  protest  anything  go  clear  call  must  oustduterte   
1, tangina 
1, oust  duterte 
1, labanan  biguin  tiraniya  malawakang  korupsyon  rehimeng  duterte  ntf  elcac  neveragaintomartiallaw  stopthekillingsph  resisttyranny  oustduterte  dutertewakasan   
2, duterte  marcos  parehong  takot  daluyong  mamamayang  lumalaban  parehong  dinarahas  nagpoprotesta  nang  payapa  ring  isinusuka  mamamayan  neveragain  oustduterte 
1, nagkakaisa  malawak  hanay  sambayanan  oustduterte  wakasanna   
1, man  lugar  diktador  pasista  tyrano  demokratikong  pilipinas  neverforget  neveragain  oustduterte  dutertewakasan 
1, mesa  met  maricar  isu  ngarod  ta  adda  makunkuna  nga  election  di  ba  mapelwan  kay  ngata  ta  pambatok  uray  kabbarro  lang  kase  adda  sense  responsibility  ipapilit  mo  ta  napintas  penmanship  ukininam 
1, commemorate  today  stand  right  freedom  remember  voice  remember  people  fellow  filipino  victimized  happening  happening  neverforget  neveragain  marcosnotahero  oustduterte  3  3 
2, uy  gagi  wag  kang  magpaniwala  haka  hakang  magnanakaw  marcos  itinuring  greatest  robbery  government  guinness  ninakaw  5  10  billion  nahatulan  7  count  graft  si  imelda  marcos  noong  2018  neveragain  neverforget  oustduterte 
1, move  martial  law  today  protester  hurt  harassed  detained  simply  exercising  right  speaking  truth  power  still  abused  people  oustduterte  neveragain 
2, manipestasyon  panunupil  estado  mamamayang  mapakinggan  pulisangterorista  stoptheattacks  defendsoutherntagalog  oustduterte 
1,   state  controlled  funded  sambayanan  allowed  gather  outside  jaro  plaza  spew  lie  red  tag  legal  progressive  organization  without  pnp  batting  eye  work  silenced  remember  fight  back  oustduterte 
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  matagumpay  green  revolution  panahong  marcos  ma  lalong  nalugmok  kahirapan  pilipino  lumaganap  malnutrisyon  kabataan  bumagsak  kita  mamamayan  neveragain  neverforget  oustduterte 
2, marcos  duterte  pinag  parehong  tuta  diktador  pasista  neveragain  marcosnotahero  dutertewakasan  oustduterte 
1, malinaw  malinaw  malinaw  pinapatagal  pandemya  alam  pamahalaan  kayang  pabagsakin  mamamayan  sama  samang  pagkilos  sagot  covid  paghihirap  sambayanan  iisa  oust  duterte   
