score,text
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  matagumpay  green  revolution  panahong  marcos  ma  lalong  nalugmok  kahirapan  pilipino  lumaganap  malnutrisyon  kabataan  bumagsak  kita  mamamayan  neveragain  neverforget  oustduterte 
2, marcos  duterte  pinag  parehong  tuta  diktador  pasista  neveragain  marcosnotahero  dutertewakasan  oustduterte 
2, malinaw  malinaw  malinaw  pinapatagal  pandemya  alam  pamahalaan  kayang  pabagsakin  mamamayan  sama  samang  pagkilos  sagot  covid  paghihirap  sambayanan  iisa  oust  duterte   
1, marcos  magiging  bayani  basahin  buong  pahayag  nnara  youth  uplb  ngayong  martial  law  commemoration  neveragain  oustduterte   
2,   neveragaintomartiallaw  resist  rehabilitation  marcos  family  stop  duterte  creating  another  political  dynasty  oust  duterte   
1, remember  49th  anniversary  martial  law  call  justice  victim  marcos  dictatorship  increasing  victim  duterte  de  facto  tyranny  dictator  never  hero  marcosnotahero  notohistoricalrevisionism  oustduterte   
1,   neveragain  notohistoricalrevisionism  endimpunity  oustduterte 
2, duterte  marcos  pinag  parehong  tuta  diktador  pasista  neveragain  neverforget  dutertepalpak  oustduterte  4  4   
1,   neveragain  bata  militar  marcoshindibayani  mabali  loob  guro  ituro  katotohanan  ipaglaban  katarungan  oustduterte  pinakasulong  hakbang  tunguhing   
2, uy  gagi  wag  kang  magpaniwala  haka  hakang  payapa  lansangan  noong  bata  militar  ayon  amnesty  international  70  000  tao  nabilanggo  34  000  tinortyur  di  3  240  biktima  ejks  neveragain  neverforget  oustduterte 
1,   put  anti  communism  nationalism  supported  cia  cia  mind  ousted  marcos  trying  oust  duterte  critically  support  marcos  digong  theyre  anti  u  cause  theyre  anti  communist   
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  nasa  1  50  2  per  dollar  forex  nung  marcos  totoo  3  91  per  dollar  nung  siyay  pangulo  20  46  per  dollar  nung  siyay  napatalsik  neveragain  neverforget  oustduterte 
1, paulit  ulit  kayo  apologist  dilawan  dd  neveragain  neverforget  oustduterte  haciendamassacre  lugaw  wag  nyo  buhos  mag  dota  kayo  tapos  sea  server  pasok  yang  bar  nyo  voice  chat  trashtalkan  kayo  g   
1, remember  history  resist  historical  negation  upv  college  art  science  student  council  partner  student  council  organization  denounce  lie  assert  truth  martial  law  marcos  regime  neverforget  neveragain  oustduterte   
1, uy  gagi  wag  kang  magpaniwala  haka  hakang  golden  age  ph  marcos  katunayan  nilubog  utang  ekonomiya  natin  neveragain  neverforget  oustduterte 
1, sinungaling  kapatid  magnanakaw  neveragain  neverforget  martiallaw  oustduterte  liar  brother  thief   
1,   neveragain  martiallaw  oustduterte 
1, alzo  di  lang  magbibigay  historical  context  marcos  martial  law  ididiscuss  yung  panitikan  aspect  interesting  bet  mag  p  21  di  nakakuha  slot  primer  niyo   
1, skl  ganda  talk  kasi  makukuha  natin  first  hand  experience  tao  bata  militar  lalo  madedebunk  yung  sinasabing  ma  peaceful  ml  mindanao  yung  kalagayan  worker  lumad 
1, bump  lang  bat  sumama  pagkilos  ngayong  neverforget  neveragain  1  3  pm  program  quezon  hall  4  6  pm  program  liwasang  bonifacio  3pm  cssp  forum  abt  literature  martial  law  amp  story  sumifru  worker  lumad  student   
2, never  martial  law  oust  duterte  read  full  statement  dutertewakasan   
1, remember  drug  war  grabe  real  problem  like  covid  19  changed  narrative  drug  problem  never  existed  scale  made  win  presidency  oustduterte  nomoremarcos  neveragain 
1, basahin  myth  debunking  infograph  ngayong  anniv  martial  law  neveragain  neverforget  oustduterte 
1, stand  always  neveragain  neverforget  marcosnotahero  oustduterte  dapatsileni  letlenilead  ibalikangabscbn  kapamilyaforever   
1, ibang  bansa  nang  face  face  class  naman  nagpapatuloy  rin  anti  mahirap  online  setup  nahuhuli  hayaan  ganito  makiisa  pagkilos  magpaorganisa  ligtasnabalikeskwela  oustduterte 
2, sumama  kilo  portesta  marcos  duterte  pinagiba  neveragain  neverforget  tuloyanglaban  marcosnotahero  oustduterte 
1, paggunita  anibersaryo  bata  militar  marcos  ngayong  araw  tunguhin  parehong  lansangang  nagpabagsak  diktadura  neveragain  neverforget  tuloyanglaban  marcosnotahero  oustduterte   
1,   oustduterte   
1, tanginanyo  asan  yung  oustduterte  natin   
1, ma  mukha  pang  presidente  kesa  presidente  pilipinasnas  paguugali  pananalita  paninindigan  lalong  lalo  naman  tindig  kagwapuhan  katalinuhan  oustduterte 
1, yung  ibang  tao  1  nakiuso  oust  duterte  2  anti  dd  topic  namayapang  convo  3  bio  eh  dd  naks  personality  pala  yon  wag  magbase  uso  makisunod  nlng  majority  research  ur  fact  tsaka  magdecide  manok  mo  anyways  dd  nga  pala  lol 
1, really  say  oust  duterte   
